idRegion,year,population,co2emissions,co2PerCapita,electricityDemand,electricityGeneration
0,1980,476386229,0.0,1.137,0.0,0.0
0,1981,490003902,0.0,1.132,0.0,0.0
0,1982,504034174,0.0,1.146,0.0,0.0
0,1983,518479760,0.0,1.159,0.0,0.0
0,1984,533345153,0.0,1.23,0.0,0.0
0,1985,548626141,0.0,1.226,0.0,258.986
0,1986,564327303,0.0,1.235,0.0,270.11
0,1987,580424299,0.0,1.2009999999999998,0.0,280.26
0,1988,596849011,0.0,1.228,0.0,295.296
0,1989,613512106,0.0,1.15,0.0,306.648
0,1990,630349685,0.0,1.052,0.0,318.832
0,1991,647344041,0.0,1.068,0.0,324.906
0,1992,664512030,0.0,1.01,0.0,327.925
0,1993,681869334,0.0,1.043,0.0,339.122
0,1994,699445416,0.0,1.029,0.0,351.374
0,1995,717270108,0.0,1.077,0.0,362.755
0,1996,735361109,0.0,1.0659999999999998,0.0,382.232
0,1997,753737584,0.0,1.079,0.0,400.97
0,1998,772437163,0.0,1.085,0.0,406.524
0,1999,791504167,0.0,1.05,0.0,418.641
0,2000,810984229,235.7,1.094,424.32,440.184
0,2001,830902549,243.33,1.064,440.73,459.11300000000006
0,2002,851298454,255.62,1.0490000000000002,464.61,487.578
0,2003,872248339,272.26,1.109,487.34,509.045
0,2004,893842767,286.23,1.16,516.3,540.7959999999998
0,2005,916154282,298.15,1.155,536.72,560.444
0,2006,939210062,311.29,1.161,560.78,586.172
0,2007,963021837,324.95,1.176,588.11,610.716
0,2008,987623525,327.56,1.197,597.26,623.55
0,2009,1013045727,325.79,1.176,600.48,630.1080000000002
0,2010,1039304018,344.29,1.172,644.82,672.702
0,2011,1066409692,348.03,1.181,653.16,690.299
0,2012,1094343031,361.11,1.146,682.38,722.535
0,2013,1123045134,366.04,1.123,701.18,745.472
0,2014,1152433643,373.66,1.1840000000000002,726.48,770.0880000000002
0,2015,1182438795,385.81,1.119,748.18,790.455
0,2016,1213040565,386.48,1.119,754.45,800.12
0,2017,1244222282,396.65,1.113,784.31,826.6389999999999
0,2018,1275921020,400.0,1.086,794.71,849.7360000000001
0,2019,1308064186,406.19,1.077,806.96,867.64
0,2020,1340598150,378.56,0.99,768.23,855.082
0,2021,1373486458,257.67,0.0,437.1,897.487
1,1980,-2147483648,0.0,1.663,0.0,0.0
1,1981,-2147483648,0.0,1.621,0.0,0.0
1,1982,-2147483648,0.0,1.645,0.0,0.0
1,1983,-2147483648,0.0,1.6780000000000002,0.0,0.0
1,1984,-2147483648,0.0,1.741,0.0,0.0
1,1985,-2147483648,0.0,1.807,0.0,2007.992
1,1986,-2147483648,0.0,1.846,0.0,2121.995
1,1987,-2147483648,0.0,1.887,0.0,2301.849
1,1988,-2147483648,0.0,2.0,0.0,2466.983
1,1989,-2147483648,0.0,2.03,0.0,2642.648
1,1990,-2147483648,0.0,2.055,0.0,2838.577
1,1991,-2147483648,0.0,2.12,0.0,2989.21
1,1992,-2147483648,0.0,2.1790000000000003,0.0,3158.493
1,1993,-2147483648,0.0,2.2430000000000003,0.0,3318.063
1,1994,-2147483648,0.0,2.305,0.0,3576.582000000001
1,1995,-2147483648,0.0,2.363,0.0,3808.012
1,1996,-2147483648,0.0,2.422,0.0,3997.316
1,1997,-2147483648,0.0,2.419,0.0,4181.853
1,1998,-2147483648,0.0,2.312,0.0,4313.289000000002
1,1999,-2147483648,0.0,2.351,0.0,4519.554
1,2000,-2147483648,2546.61,2.431,4627.09,4800.755
1,2001,-2147483648,2663.01,2.445,4836.79,5018.81
1,2002,-2147483648,2884.37,2.55,5156.64,5349.629
1,2003,-2147483648,3170.73,2.76,5534.91,5733.647
1,2004,-2147483648,3425.6,2.972,6040.35,6248.489000000001
1,2005,-2147483648,3712.19,3.149,6481.4,6713.736999999999
1,2006,-2147483648,4050.22,3.321,7025.13,7251.935
1,2007,-2147483648,4498.96,3.46,7651.5,7874.103
1,2008,-2147483648,4589.88,3.5980000000000003,7902.71,8192.229
1,2009,-2147483648,4798.61,3.703,8208.38,8460.314
1,2010,-2147483648,5252.87,3.928,9049.51,9268.191
1,2011,-2147483648,5817.23,4.172,9763.479,9925.748
1,2012,-2147483648,6040.96,4.293,10162.85,10412.329
1,2013,-2147483648,6401.86,4.308,10763.96,10988.954
1,2014,-2147483648,6655.99,4.334,11354.5,11599.565
1,2015,-2147483648,6621.78,4.317,11529.938999999997,11764.871
1,2016,-2147483648,6855.89,4.294,12071.1,12314.938
1,2017,-2147483648,7176.45,4.35,12717.03,13030.948
1,2018,-2147483648,7567.58,4.442,13496.109,13842.322
1,2019,-2147483648,7681.46,4.48,13973.181,14276.007
1,2020,-2147483648,7609.48,4.379,14075.98,14465.832
1,2021,-2147483648,7444.56,0.0,13771.73,15611.27
2,1980,0,0.0,0.0,0.0,0.0
2,1981,0,0.0,0.0,0.0,0.0
2,1982,0,0.0,0.0,0.0,0.0
2,1983,0,0.0,0.0,0.0,0.0
2,1984,0,0.0,0.0,0.0,0.0
2,1985,0,0.0,0.0,0.0,11.155
2,1986,0,0.0,0.0,0.0,11.576
2,1987,0,0.0,0.0,0.0,12.647
2,1988,0,0.0,0.0,0.0,12.987
2,1989,0,0.0,0.0,0.0,13.886
2,1990,0,0.0,0.0,0.0,14.494000000000002
2,1991,0,0.0,0.0,0.0,15.272
2,1992,0,0.0,0.0,0.0,17.281
2,1993,0,0.0,0.0,0.0,18.229
2,1994,0,0.0,0.0,0.0,18.772
2,1995,0,0.0,0.0,0.0,19.819000000000006
2,1996,0,0.0,0.0,0.0,20.11
2,1997,0,0.0,0.0,0.0,21.097
2,1998,0,0.0,0.0,0.0,23.225
2,1999,0,0.0,0.0,0.0,24.747
2,2000,0,0.0,0.0,0.0,26.618
2,2001,0,0.0,0.0,0.0,28.499
2,2002,0,0.0,0.0,0.0,30.117
2,2003,0,0.0,0.0,0.0,32.148
2,2004,0,0.0,0.0,0.0,33.974000000000004
2,2005,0,0.0,0.0,0.0,35.82
2,2006,0,0.0,0.0,0.0,37.95
2,2007,0,0.0,0.0,0.0,39.967
2,2008,0,0.0,0.0,0.0,40.883
2,2009,0,0.0,0.0,0.0,41.612
2,2010,0,0.0,0.0,0.0,42.975
2,2011,0,0.0,0.0,0.0,44.371
2,2012,0,0.0,0.0,0.0,46.117
2,2013,0,0.0,0.0,0.0,47.545
2,2014,0,0.0,0.0,0.0,48.85
2,2015,0,0.0,0.0,0.0,51.66
2,2016,0,0.0,0.0,0.0,53.346
2,2017,0,0.0,0.0,0.0,53.74
2,2018,0,0.0,0.0,0.0,56.428
2,2019,0,0.0,0.0,0.0,57.83600000000001
2,2020,0,0.0,0.0,0.0,55.151
2,2021,0,0.0,0.0,0.0,59.25
3,1980,694253882,0.0,11.148,0.0,0.0
3,1981,697202605,0.0,10.696,0.0,0.0
3,1982,700021736,0.0,10.568,0.0,0.0
3,1983,702764495,0.0,10.536,0.0,0.0
3,1984,705505200,0.0,10.568,0.0,0.0
3,1985,708287873,0.0,10.984000000000002,0.0,3843.849
3,1986,711134449,0.0,10.958,0.0,3943.788
3,1987,714002674,0.0,10.948,0.0,4084.354
3,1988,716793136,0.0,10.952,0.0,4185.081
3,1989,719368318,0.0,10.868,0.0,4254.992
3,1990,721627214,0.0,11.112,0.0,4275.858
3,1991,723558980,0.0,10.666,0.0,4276.554
3,1992,725190640,0.0,9.765,0.0,4168.87
3,1993,726475533,0.0,9.353,0.0,4090.643
3,1994,727366456,0.0,8.849,0.0,4021.573
3,1995,727849823,0.0,8.818,0.0,4078.124
3,1996,727893727,0.0,8.885,0.0,4130.209
3,1997,727560605,0.0,8.605,0.0,4146.51
3,1998,727050552,0.0,8.576,0.0,4206.285
3,1999,726631500,0.0,8.464,0.0,4266.3
3,2000,726503746,1631.54,8.468,4297.01,4398.557
3,2001,726734609,1643.27,8.64,4377.26,4479.032
3,2002,727291433,1681.61,8.586,4418.53,4506.988
3,2003,728130211,1749.28,8.777000000000001,4513.24,4613.46
3,2004,729162672,1736.68,8.807,4606.95,4709.793
3,2005,730317952,1753.31,8.781,4665.06,4783.018
3,2006,731594771,1808.61,8.902000000000003,4751.82,4863.359
3,2007,733004676,1831.86,8.814,4806.13,4923.634
3,2008,734500462,1811.5,8.696,4848.32,4965.128
3,2009,736023886,1663.61,7.981,4612.28,4723.587
3,2010,737528005,1715.61,8.273,4814.17,4927.122
3,2011,738977888,1720.4,8.155,4769.22,4876.933
3,2012,740362610,1712.07,8.07,4795.12,4912.804
3,2013,741688147,1637.93,7.845,4756.37,4871.838
3,2014,742972983,1545.29,7.527,4669.48,4784.51
3,2015,744222364,1546.93,7.521,4703.47,4821.423
3,2016,745441389,1542.91,7.502999999999999,4751.56,4870.5
3,2017,746596844,1531.62,7.532,4777.0,4888.647
3,2018,747608696,1481.49,7.485,4788.14,4906.469
3,2019,748381407,1385.65,7.26,4744.06,4848.08
3,2020,748843389,1242.36,6.608,4583.81,4696.355
3,2021,748962983,1321.79,0.0,4731.49,4897.383
4,1980,375011481,0.0,15.132,0.0,0.0
4,1981,379803523,0.0,14.595,0.0,0.0
4,1982,384900361,0.0,13.794,0.0,0.0
4,1983,390035393,0.0,13.457,0.0,0.0
4,1984,395211695,0.0,13.939,0.0,0.0
4,1985,400431902,0.0,13.765999999999998,0.0,3250.849
4,1986,405701943,0.0,13.549,0.0,3285.1620000000007
4,1987,411023468,0.0,13.88,0.0,3417.961
4,1988,416389777,0.0,14.305,0.0,3576.731
4,1989,421790737,0.0,14.389,0.0,3818.084
4,1990,427517678,0.0,14.126,0.0,3877.994
4,1991,432663819,0.0,13.827,0.0,3952.292
4,1992,438123767,0.0,13.941,0.0,3984.393
