country,year,co2emissions
United States,2021,5555095600.0
United States,2022,5594352600.0
United States,2023,5528461000.0
United States,2024,5631539000.0
United States,2025,5626453000.0
United States,2026,5597973500.0
United States,2027,5625463000.0
United States,2028,5620573700.0
United States,2029,5669677600.0
United States,2030,5629452000.0
China,2021,10291881000.0
China,2022,10362963000.0
China,2023,9808623000.0
China,2024,10550221000.0
China,2025,10537140000.0
China,2026,10581041000.0
China,2027,10342246000.0
China,2028,10685617000.0
China,2029,10636682000.0
China,2030,10383613000.0
Russia,2021,1577640200.0
Russia,2022,1451799700.0
Russia,2023,1113023500.0
Russia,2024,1314020500.0
Russia,2025,1092193900.0
Russia,2026,1259431800.0
Russia,2027,1356768300.0
Russia,2028,1134408800.0
Russia,2029,1366774700.0
Russia,2030,1472410600.0
India,2021,2545306600.0
India,2022,2611214000.0
India,2023,2412650500.0
India,2024,2476203000.0
India,2025,2708737000.0
India,2026,2732381700.0
India,2027,2788024300.0
India,2028,2774095400.0
India,2029,2788345900.0
India,2030,2798993200.0
Japan,2021,1192101000.0
Japan,2022,1242813400.0
Japan,2023,1233339100.0
Japan,2024,1271654500.0
Japan,2025,1266304400.0
Japan,2026,1160536600.0
Japan,2027,1192472000.0
Japan,2028,1062832300.0
Japan,2029,1288870100.0
Japan,2030,1139304400.0
Germany,2021,508277020.0
Germany,2022,405324800.0
Germany,2023,709773200.0
Germany,2024,824884800.0
Germany,2025,792789760.0
Germany,2026,771486700.0
Germany,2027,796410600.0
Germany,2028,784921200.0
Germany,2029,822921000.0
Germany,2030,741127550.0
United Kingdom,2021,465201920.0
United Kingdom,2022,557740500.0
United Kingdom,2023,591651100.0
United Kingdom,2024,376914140.0
United Kingdom,2025,351156480.0
United Kingdom,2026,176631660.0
United Kingdom,2027,494805800.0
United Kingdom,2028,417661060.0
United Kingdom,2029,554367740.0
United Kingdom,2030,288850400.0
Canada,2021,566185200.0
Canada,2022,588068900.0
Canada,2023,548784300.0
Canada,2024,604093700.0
Canada,2025,601684740.0
Canada,2026,584678000.0
Canada,2027,547550140.0
Canada,2028,598169100.0
Canada,2029,600721660.0
Canada,2030,598583400.0
Ukraine,2021,193238720.0
Ukraine,2022,189325000.0
Ukraine,2023,181137820.0
Ukraine,2024,175385440.0
Ukraine,2025,177037520.0
Ukraine,2026,166204780.0
Ukraine,2027,168808530.0
Ukraine,2028,166343200.0
Ukraine,2029,152696860.0
Ukraine,2030,181068800.0
South Korea,2021,652944800.0
South Korea,2022,652265340.0
South Korea,2023,638800700.0
South Korea,2024,694597570.0
South Korea,2025,598359500.0
South Korea,2026,676284600.0
South Korea,2027,718909760.0
South Korea,2028,688007550.0
South Korea,2029,495289860.0
South Korea,2030,716808400.0
Italy,2021,443602340.0
Italy,2022,378396260.0
Italy,2023,296729500.0
Italy,2024,289306900.0
Italy,2025,396512670.0
Italy,2026,390393400.0
Italy,2027,372795970.0
Italy,2028,176189170.0
Italy,2029,361987070.0
Italy,2030,380910300.0
Mexico,2021,496278900.0
Mexico,2022,506598900.0
Mexico,2023,506838800.0
Mexico,2024,509267520.0
Mexico,2025,510571140.0
Mexico,2026,521171070.0
Mexico,2027,518059330.0
Mexico,2028,523168000.0
Mexico,2029,522275680.0
Mexico,2030,524901340.0
France,2021,323873380.0
France,2022,343216300.0
France,2023,288953280.0
France,2024,314458530.0
France,2025,283277300.0
France,2026,241521630.0
France,2027,331436320.0
France,2028,295292830.0
France,2029,320557660.0
France,2030,321481060.0
Iran,2021,696598340.0
Iran,2022,701947840.0
Iran,2023,728366600.0
Iran,2024,755896640.0
Iran,2025,746761400.0
Iran,2026,737354500.0
Iran,2027,758725600.0
Iran,2028,760190400.0
Iran,2029,762904260.0
Iran,2030,749597250.0
South Africa,2021,483647040.0
South Africa,2022,496626240.0
South Africa,2023,506798000.0
South Africa,2024,346517540.0
South Africa,2025,512561860.0
South Africa,2026,505584400.0
South Africa,2027,478734500.0
South Africa,2028,512286660.0
South Africa,2029,508999970.0
South Africa,2030,496388830.0
Poland,2021,304075230.0
Poland,2022,212127710.0
Poland,2023,190375820.0
Poland,2024,251557620.0
Poland,2025,162755950.0
Poland,2026,306301950.0
Poland,2027,237917840.0
Poland,2028,251560400.0
Poland,2029,165367400.0
Poland,2030,258359820.0
Saudi Arabia,2021,337549220.0
Saudi Arabia,2022,619684900.0
Saudi Arabia,2023,388510700.0
Saudi Arabia,2024,693979300.0
Saudi Arabia,2025,470716320.0
Saudi Arabia,2026,704529150.0
Saudi Arabia,2027,694395140.0
Saudi Arabia,2028,702746100.0
Saudi Arabia,2029,633642500.0
Saudi Arabia,2030,680092000.0
Australia,2021,415319140.0
Australia,2022,422695500.0
Australia,2023,414584320.0
Australia,2024,423228900.0
Australia,2025,426444350.0
Australia,2026,404892830.0
Australia,2027,386641120.0
Australia,2028,437341440.0
Australia,2029,436659000.0
Australia,2030,411556830.0
Brazil,2021,529188860.0
Brazil,2022,372355740.0
Brazil,2023,540706560.0
Brazil,2024,546699900.0
Brazil,2025,542145150.0
Brazil,2026,597665800.0
Brazil,2027,590637600.0
Brazil,2028,590504260.0
Brazil,2029,525051260.0
Brazil,2030,583631360.0
Indonesia,2021,609415550.0
Indonesia,2022,617469200.0
Indonesia,2023,341687800.0
Indonesia,2024,650809800.0
Indonesia,2025,646982200.0
Indonesia,2026,680484800.0
Indonesia,2027,675309400.0
Indonesia,2028,642270000.0
Indonesia,2029,596852500.0
Indonesia,2030,608454500.0
Afghanistan,2021,8201020.0
Afghanistan,2022,8993633.0
Afghanistan,2023,9971913.0
Afghanistan,2024,9938420.0
Afghanistan,2025,9043546.0
Afghanistan,2026,11317014.0
Afghanistan,2027,11671991.0
Afghanistan,2028,11533684.0
Afghanistan,2029,13444684.0
Afghanistan,2030,15773921.0
Albania,2021,4642726.5
Albania,2022,4639152.0
Albania,2023,4560150.0
Albania,2024,4693945.5
Albania,2025,4699484.5
Albania,2026,4542887.0
Albania,2027,4584562.0
Albania,2028,4657860.0
Albania,2029,4740842.0
Albania,2030,4669635.0
Algeria,2021,149007120.0
Algeria,2022,151704580.0
Algeria,2023,155831680.0
Algeria,2024,160828850.0
Algeria,2025,160446660.0
Algeria,2026,165482430.0
Algeria,2027,164527380.0
Algeria,2028,171262600.0
Algeria,2029,173548620.0
Algeria,2030,178436050.0
Angola,2021,30820432.0
Angola,2022,32405886.0
Angola,2023,39574464.0
Angola,2024,43241224.0
Angola,2025,39654880.0
Angola,2026,54292970.0
Angola,2027,51665660.0
Angola,2028,54321360.0
Angola,2029,56240830.0
Angola,2030,42130840.0
Argentina,2021,199690990.0
Argentina,2022,191383200.0
Argentina,2023,201159920.0
Argentina,2024,192692030.0
Argentina,2025,179307500.0
Argentina,2026,215476210.0
Argentina,2027,216383490.0
Argentina,2028,217229060.0
Argentina,2029,201128670.0
Argentina,2030,225896110.0
Austria,2021,64992864.0
Austria,2022,73550136.0
